,Bush,Kerr,Nade,Chen,Edwa,LBus,HCli,BCli,Powe,Ashc,McCa,DemP,RepP
0,100,50,50,100,50,100,50,50,100,50,70,15,85
1,100,0,50,85,0,100,0,0,85,100,50,30,85
2,60,30,100,15,30,50,0,85,40,50,85,30,30
3,85,15,40,70,50,70,30,15,70,60,70,30,60
4,50,70,85,60,100,70,100,100,85,30,50,70,50
5,30,70,15,15,60,85,70,85,70,60,60,50,30
6,100,0,0,100,0,100,0,0,100,100,85,15,100
7,60,50,60,50,60,100,85,100,60,60,60,50,50
8,0,70,60,50,85,50,30,60,100,50,85,40,85
9,0,60,70,0,40,0,30,30,30,0,60,0,0
10,90,0,10,90,0,100,0,30,95,95,40,10,80
11,40,100,0,0,100,85,70,70,100,70,85,70,40
12,100,60,50,85,60,85,60,60,100,70,100,60,85
13,70,60,50,60,50,70,85,60,60,50,50,60,60
14,85,40,30,70,40,100,30,60,85,60,70,30,70
15,15,15,0,50,50,15,70,70,50,50,30,50,50
16,50,75,22,21,90,50,80,75,100,80,100,75,50
17,85,40,60,40,50,85,0,85,40,15,60,60,70
18,85,0,40,85,50,85,40,40,100,70,70,50,70
19,95,5,70,80,30,90,0,20,50,90,90,20,70
20,100,25,50,90,50,100,25,25,100,75,100,25,90
21,100,40,0,50,30,85,70,50,100,50,50,50,100
22,85,30,50,75,40,80,25,35,90,70,75,25,60
23,100,30,30,85,30,85,0,0,70,60,50,30,70
24,85,85,70,85,85,70,70,85,85,60,70,85,85
25,15,15,0,15,0,30,15,15,50,15,50,15,15
26,15,85,50,0,60,85,60,70,85,60,50,85,40
27,85,40,50,70,40,85,60,50,70,60,60,60,70
28,50,60,0,60,70,15,85,100,85,60,60,70,50
29,100,30,50,85,30,100,30,40,85,70,85,40,85
30,100,40,50,85,40,100,15,15,85,85,85,15,100
31,85,50,60,60,50,85,30,60,100,50,50,60,85
32,0,85,50,15,70,70,50,50,85,50,50,60,70
33,0,85,40,0,100,85,100,100,40,0,50,85,0
34,70,30,0,70,0,100,85,50,85,0,60,60,60
35,100,40,60,100,40,100,40,40,100,100,100,0,100
36,100,40,60,85,30,100,0,60,100,85,85,40,85
37,85,30,30,85,15,70,30,30,85,70,50,50,85
38,70,30,15,40,50,85,30,60,85,30,85,40,60
39,100,70,70,70,60,85,70,85,85,60,50,70,85
40,15,85,50,0,85,0,70,70,30,50,60,70,0
41,100,0,0,100,0,100,0,0,85,100,50,0,100
42,100,0,50,100,15,100,0,0,100,85,60,15,100
43,50,50,50,50,50,50,50,50,50,50,50,50,50
44,85,50,40,50,60,100,30,70,100,70,70,40,60
45,100,0,0,85,0,100,50,50,85,85,85,15,85
46,85,30,50,0,60,100,15,1,85,60,70,40,85
47,40,60,50,0,100,70,0,6,70,50,100,60,40
48,0,70,40,15,70,50,70,85,40,50,60,70,0
49,100,0,60,85,0,100,50,0,100,50,50,0,100
50,100,40,15,85,40,100,40,40,100,100,70,40,60
51,85,15,0,70,0,85,0,40,70,60,60,30,60
52,15,85,60,15,85,60,70,85,60,60,85,85,30
53,0,85,50,0,85,40,100,85,50,50,85,70,0
54,85,15,50,70,60,85,0,0,85,60,60,40,70
55,30,60,0,15,70,40,85,70,60,0,60,70,30
56,0,85,0,50,85,0,100,100,50,50,60,100,30
57,85,70,60,70,50,85,85,50,60,60,60,70,60
58,15,85,30,70,50,85,100,100,100,50,60,100,15
59,30,60,15,60,65,55,65,75,80,45,70,40,40
60,70,30,50,60,30,85,0,0,85,50,50,0,85
61,100,15,15,70,50,100,60,70,100,70,60,70,70
62,0,85,60,15,60,30,85,100,85,50,50,70,30
63,70,15,15,0,40,50,70,40,0,60,50,70,50
64,0,85,50,15,85,70,70,70,85,30,85,85,30
65,90,0,0,70,0,95,0,0,85,90,75,50,50
66,100,60,50,0,70,100,85,100,85,70,85,60,70
67,0,85,30,0,70,50,70,85,60,0,50,85,15
68,100,50,50,100,60,100,40,50,100,85,70,70,85
69,50,0,30,70,0,60,0,30,40,15,85,15,60
70,15,60,0,0,60,40,70,70,70,30,50,70,60
71,50,70,0,15,60,60,70,100,70,50,60,70,50
72,50,100,85,70,100,85,100,100,85,0,100,85,40
73,100,15,40,100,0,100,0,0,100,85,100,15,85
74,100,15,15,70,15,50,0,0,50,85,40,15,70
75,0,85,50,0,70,100,85,95,70,15,70,85,60
76,85,0,15,85,15,100,0,0,60,50,50,0,85
77,60,85,50,60,85,70,100,100,50,50,50,60,85
78,30,85,60,40,70,50,30,70,85,50,60,50,30
79,30,70,15,15,85,60,100,85,60,50,50,85,60
80,30,70,50,30,85,50,70,7,50,50,5,85,15
81,15,85,50,50,50,50,60,50,50,55,50,85,15
82,0,60,40,0,70,50,85,85,70,0,65,60,0
83,60,40,60,50,50,50,70,70,60,40,70,60,60
84,85,0,40,70,40,85,30,40,85,60,85,0,70
85,0,85,20,0,85,15,85,100,25,10,0,95,0
86,70,60,50,60,50,50,85,70,50,50,60,50,50
87,85,40,60,60,50,85,70,70,70,60,50,40,85
88,15,40,70,0,50,40,50,70,40,0,15,60,50
89,85,50,0,85,50,85,70,70,70,70,70,60,85
90,15,50,50,30,50,40,70,70,50,50,40,60,40
91,15,70,85,0,70,0,50,60,100,0,100,60,50
92,85,15,50,50,0,100,0,0,100,70,60,30,70
93,15,50,50,40,60,50,70,85,60,50,60,60,50
94,85,60,60,85,40,85,50,30,85,70,50,40,70
95,100,50,50,70,100,100,100,100,100,70,60,100,100
96,90,0,70,80,40,70,50,80,90,60,90,60,80
97,70,70,50,50,85,100,70,70,85,50,60,85,40
98,85,30,0,70,30,85,0,30,85,60,70,15,70
99,85,15,30,70,15,85,15,30,70,60,60,30,70
100,40,50,50,40,50,50,50,70,50,30,50,50,50
101,60,50,50,60,70,85,40,40,70,50,50,50,50
102,50,60,30,15,70,70,85,85,60,50,70,60,30
103,50,50,50,90,10,85,10,50,90,50,75,49,51
104,85,50,60,85,50,85,50,40,85,85,70,50,70
105,85,40,50,70,60,100,15,30,100,30,100,40,60
106,40,60,50,30,50,60,0,60,60,50,85,60,40
107,0,100,15,0,100,60,90,100,80,30,50,85,20
108,85,50,50,85,50,50,40,40,50,50,50,40,85
109,100,15,30,60,50,100,0,0,85,100,50,0,70
110,15,60,30,0,60,60,85,85,85,15,85,60,40
111,70,50,50,60,50,70,60,40,85,40,50,50,85
112,40,70,50,40,70,40,70,70,50,40,40,85,40
113,70,0,15,60,50,70,60,60,85,15,50,50,70
114,85,15,50,60,50,100,0,60,85,60,70,15,85
115,50,85,15,30,85,70,70,60,60,30,30,70,40
116,100,0,15,100,75,95,99,99,100,80,65,95,85
117,0,85,60,0,70,40,85,85,60,0,60,85,0
118,60,50,60,40,70,70,85,85,85,30,85,60,60
119,40,60,50,30,85,60,70,85,60,30,70,60,30
120,85,50,50,60,60,70,0,0,60,70,50,60,70
121,0,60,30,15,50,70,85,100,70,50,60,60,30
122,75,25,30,50,10,85,10,20,75,50,85,50,60
123,0,85,85,0,100,70,15,85,30,50,0,100,0
124,100,40,50,85,60,100,0,0,85,85,70,40,85
125,15,70,50,15,70,50,70,85,30,15,50,60,15
126,70,60,50,70,70,60,30,30,100,40,50,60,70
127,0,85,15,0,100,50,60,100,60,0,60,100,40
128,50,60,50,0,60,50,70,70,30,30,50,60,50
129,85,50,60,100,40,100,70,60,85,50,30,40,85
130,40,70,60,15,85,85,70,70,85,30,85,60,30
131,85,50,40,70,50,100,50,40,70,50,100,50,85
132,100,30,70,60,40,100,0,0,100,50,70,50,85
133,60,50,30,40,50,50,50,60,70,40,50,50,50
134,70,40,40,60,40,70,60,70,85,60,50,70,60
135,100,15,40,70,50,50,0,0,60,50,70,60,100
136,85,30,15,70,40,85,0,30,60,70,60,30,60
137,100,30,30,70,15,100,30,60,60,70,60,15,100
138,70,40,30,85,70,70,50,50,85,85,85,60,85
139,70,70,70,70,85,85,70,85,85,70,60,70,70
140,85,15,15,85,15,85,0,0,100,70,60,0,100
141,60,85,50,30,70,50,70,85,70,40,40,60,40
142,60,60,50,60,70,85,50,0,85,50,50,60,60
143,30,70,50,50,60,30,70,40,60,50,50,70,30
144,70,60,70,50,50,60,40,50,70,50,60,60,60
145,40,85,15,70,50,60,85,60,85,50,50,85,0
146,70,70,50,70,60,70,70,60,60,50,60,70,70
147,100,30,15,85,30,85,15,15,85,70,60,30,85
148,70,40,40,50,50,50,50,30,50,50,50,40,40
149,100,0,70,85,15,100,0,15,85,85,85,30,85
150,40,100,50,15,85,60,100,100,100,60,100,100,50
151,30,40,30,40,50,60,85,70,70,30,60,40,30
152,15,100,50,15,100,0,60,85,50,0,60,85,15
153,0,40,40,15,60,70,30,60,70,0,100,30,30
154,15,70,0,0,60,70,100,85,70,15,85,60,30
155,70,70,60,60,70,60,70,70,70,60,60,60,60
156,100,0,50,85,15,85,0,15,85,70,30,15,85
157,70,60,0,70,85,85,15,30,70,50,70,30,60
158,100,30,60,80,5,70,5,0,95,75,90,3,90
159,0,70,85,0,70,40,40,85,40,0,70,70,15
160,85,15,0,100,60,100,85,50,100,70,70,30,70
161,15,85,0,40,100,85,85,100,70,50,60,100,50
162,60,30,50,60,30,70,15,60,60,40,50,50,50
163,15,85,70,0,70,50,85,85,40,0,60,70,30
164,30,40,0,60,60,50,40,60,70,15,50,40,30
165,0,85,30,0,85,50,70,70,60,0,70,85,15
166,60,70,40,40,70,50,50,85,60,50,70,60,50
167,0,70,0,0,80,40,80,70,50,0,80,85,0
168,60,40,50,50,50,60,40,40,60,30,40,30,40
169,50,50,75,25,100,100,75,100,75,50,100,75,25
170,5,75,0,5,50,5,50,85,5,0,50,85,5
171,85,0,15,50,15,70,85,60,85,50,50,85,70
172,100,0,50,85,15,100,0,0,70,85,60,15,85
173,0,60,50,0,50,30,50,60,60,0,70,60,0
174,0,85,60,50,85,60,100,100,100,60,40,70,60
175,70,60,30,60,40,70,50,50,60,60,60,40,70
176,100,100,100,0,100,50,100,100,15,0,100,100,50
177,85,60,40,90,50,85,0,15,85,85,60,40,70
178,100,85,85,85,70,100,85,100,100,85,100,85,85
179,70,70,40,50,50,60,100,85,100,50,50,100,85
180,100,60,85,60,60,100,60,40,100,50,100,70,85
181,60,70,50,60,50,70,85,40,60,50,40,70,60
182,70,0,60,50,15,85,0,0,60,50,40,0,60
183,60,85,50,50,60,85,70,70,70,50,60,85,60
184,70,15,60,70,30,85,30,15,100,60,60,60,85
185,90,5,55,45,35,90,10,20,75,50,65,30,65
186,95,15,60,90,15,95,0,0,85,80,85,15,90
187,0,60,50,50,50,30,60,50,70,50,50,50,50
188,0,70,50,15,75,50,30,50,75,50,70,55,30
189,75,45,50,60,60,100,0,30,100,40,75,50,50
190,30,4,40,30,60,70,60,60,85,40,85,50,50
191,50,85,40,30,70,50,100,100,85,50,70,70,50
192,70,50,60,60,30,85,40,60,85,50,70,60,70
193,50,70,0,40,70,60,85,85,15,15,60,85,70
194,60,70,50,50,50,40,85,100,100,50,40,60,60
195,100,0,85,70,0,100,3,0,85,85,70,15,70
196,0,70,80,0,80,30,70,90,80,30,80,70,20
197,85,30,0,40,60,100,15,30,85,40,85,15,60
198,0,70,40,0,50,0,85,100,30,50,15,40,0
199,85,40,50,60,30,0,15,70,70,85,100,100,0
200,0,100,0,0,100,0,100,100,30,15,30,85,15
201,100,50,50,100,50,100,0,0,100,100,85,30,85
202,85,30,40,60,50,85,15,0,100,50,50,40,70
203,15,80,15,0,80,50,90,85,40,10,75,80,5
204,15,85,30,0,85,30,85,85,30,15,50,85,40
205,70,70,70,60,70,85,0,85,70,70,70,70,15
206,0,85,0,15,70,85,85,70,85,50,15,70,0
207,70,15,30,40,30,100,0,0,100,30,100,30,30
208,100,0,50,100,0,100,0,0,100,100,50,100,100
209,15,30,50,40,50,60,85,60,100,60,60,50,50
210,100,0,50,85,70,100,15,15,85,85,60,50,50
211,30,60,0,30,60,50,60,100,50,50,50,70,50
212,30,85,0,0,85,50,15,100,50,0,40,60,15
213,85,30,40,40,50,85,0,0,50,85,50,40,80
214,40,70,30,30,60,70,85,85,50,30,85,50,50
215,10,50,0,0,85,15,100,100,100,15,30,85,60
216,15,40,60,15,30,70,0,70,60,0,50,85,30
217,100,60,50,70,50,100,70,100,85,85,85,60,85
218,40,85,40,60,100,60,100,100,60,50,70,85,60
219,70,40,15,50,30,60,60,60,85,40,50,50,70
220,75,30,50,60,60,90,10,40,90,60,60,40,60
221,100,0,50,100,15,100,0,0,85,85,70,15,85
222,100,1,50,100,5,100,3,1,100,70,70,0,100
223,85,50,50,40,60,85,85,85,60,60,60,70,70
224,15,70,85,0,60,30,60,85,40,15,50,60,40
225,100,0,0,100,0,100,0,0,30,30,0,30,100
226,70,85,0,15,85,85,60,85,60,50,50,85,40
227,40,85,50,15,85,60,100,100,40,15,60,100,30
228,100,30,40,70,50,100,0,40,100,70,70,30,70
229,30,60,50,30,60,60,60,15,70,30,50,70,40
230,0,62,55,0,80,50,90,95,59,40,60,57,0
231,100,0,60,85,50,100,0,0,85,85,50,0,60
232,0,100,60,0,70,60,100,100,40,0,40,100,0
233,85,60,40,15,60,100,50,60,70,60,50,60,85
234,0,60,15,0,85,50,85,85,60,0,50,70,0
235,0,85,0,0,85,50,85,60,40,50,50,70,15
236,10,60,50,85,50,85,0,15,85,85,60,40,85
237,60,85,50,70,70,70,100,100,85,70,60,100,50
238,100,50,45,90,40,100,30,0,85,85,85,30,100
239,50,85,60,50,100,70,100,100,60,30,60,85,60
240,60,90,30,50,70,70,10,20,75,50,60,80,50
241,85,0,50,85,15,100,0,15,100,70,30,15,85
242,70,30,50,60,70,70,70,70,70,40,40,50,60
243,70,40,30,60,40,85,40,50,85,70,70,60,70
244,30,70,15,60,70,60,50,70,70,50,50,70,40
245,0,90,60,15,70,15,95,85,30,0,50,70,0
246,15,85,40,30,85,85,60,70,70,30,60,70,40
247,0,100,30,50,70,50,100,100,85,60,50,100,0
248,85,50,30,85,50,100,60,15,85,15,70,40,70
249,70,30,60,40,70,50,15,70,85,40,60,40,70
250,30,70,50,40,100,50,100,70,50,50,70,70,70
251,85,50,85,70,15,85,0,0,60,60,85,50,50
252,15,70,50,50,50,60,70,60,70,50,50,70,30
253,15,60,50,0,50,30,60,85,30,40,60,60,30
254,85,15,30,85,40,85,0,50,100,100,60,50,70
255,30,40,40,40,50,50,60,50,30,15,30,30,15
256,70,70,100,60,70,60,70,60,70,60,70,70,70
257,0,100,0,0,100,15,100,100,0,0,40,100,0
258,80,0,0,85,0,85,0,30,85,50,60,30,60
259,70,40,30,50,50,85,50,40,70,60,60,60,60
260,30,85,50,15,70,70,70,70,85,40,70,60,30
261,15,85,50,15,85,50,85,85,30,30,40,85,60
262,85,50,70,85,85,60,30,70,60,50,50,70,70
263,100,0,50,70,0,85,0,0,85,50,50,0,85
264,15,85,40,50,85,70,70,70,70,50,50,60,40
265,100,40,50,85,40,100,40,30,100,85,85,50,85
266,100,30,60,100,50,100,50,60,85,70,85,30,85
267,0,85,40,40,30,50,0,0,70,50,15,60,50
268,85,50,70,85,50,85,85,85,85,85,70,70,70
269,0,85,50,60,40,50,70,40,60,30,50,40,15
270,15,85,50,0,85,40,85,100,50,30,60,85,40
271,50,50,60,50,50,60,70,60,70,50,50,60,40
272,85,70,30,85,70,85,85,100,85,70,70,70,70
273,50,70,50,50,70,50,50,70,50,50,60,50,70
274,15,70,50,50,50,60,70,70,60,50,50,70,30
275,0,85,40,0,85,30,85,100,40,0,50,85,15
276,85,50,70,85,60,100,50,50,85,70,70,50,85
277,0,50,15,40,40,50,85,100,70,50,50,85,0
278,0,100,50,0,100,85,60,100,50,40,60,100,50
279,100,0,50,100,15,100,0,0,85,70,85,0,100
280,70,40,30,60,50,85,0,30,70,40,85,40,60
281,15,50,0,85,15,50,70,50,85,50,70,85,30
282,40,60,50,60,40,30,50,60,70,50,50,60,40
283,50,85,70,0,85,15,15,0,100,30,60,100,0
284,40,60,50,40,60,50,70,70,70,50,70,60,40
285,30,70,40,70,60,60,70,70,85,60,50,60,50
286,15,70,60,0,60,50,70,60,70,70,30,70,15
287,100,40,50,70,60,100,0,0,85,70,60,40,85
288,85,50,85,60,60,100,30,30,100,70,85,40,60
289,100,60,70,85,60,100,15,30,100,60,85,40,85
290,85,40,70,70,50,85,60,60,85,60,100,60,70
291,30,60,40,50,60,40,60,70,85,70,60,50,50
292,45,55,65,70,55,50,85,100,95,70,95,51,30
293,15,70,50,50,15,40,85,100,70,50,50,100,50
294,85,0,60,60,15,100,0,0,85,70,30,40,70
295,85,60,50,70,60,85,30,40,100,70,100,55,60
296,85,50,85,100,70,100,40,60,70,60,40,60,70
297,85,15,50,70,15,100,15,15,60,70,60,15,70
298,30,70,50,40,70,60,100,90,60,30,50,85,40
299,0,85,15,0,85,15,85,100,60,0,60,70,15
300,30,85,50,15,100,50,85,85,85,50,60,100,40
301,100,0,15,100,0,100,0,0,60,85,40,0,100
302,100,50,77,70,50,100,70,70,100,70,50,70,85
303,0,60,0,0,30,70,50,0,40,15,60,60,50
304,50,100,50,50,100,70,70,85,70,50,70,100,50
305,60,70,0,0,70,70,85,100,60,60,0,60,0
306,100,15,15,85,40,100,50,30,85,70,30,0,100
307,60,85,60,0,50,85,85,85,85,85,60,70,50
308,15,85,30,0,100,50,85,70,60,15,60,80,30
309,60,60,15,50,15,40,60,80,60,50,50,60,60
310,85,15,50,70,0,85,0,0,70,0,50,50,70
311,15,70,50,40,50,50,50,50,70,65,50,50,50
312,100,0,60,85,0,85,15,15,60,85,50,0,100
313,0,70,70,0,70,15,50,85,30,40,0,40,40
314,95,45,35,85,60,95,30,5,85,95,50,50,95
315,40,40,50,0,50,50,60,40,100,40,0,0,0
316,85,60,50,70,30,70,80,90,85,70,85,60,70
317,0,60,85,0,60,15,85,100,40,50,60,70,15
318,50,50,50,50,50,50,70,85,50,50,50,70,50
319,70,15,50,60,0,100,15,40,85,70,70,30,60
320,100,40,50,60,60,100,0,0,100,40,100,50,100
321,0,100,70,0,85,50,85,100,70,0,85,70,15
322,100,0,15,85,0,100,0,0,85,60,70,0,100
323,85,50,30,70,40,100,60,70,100,70,85,0,85
324,0,85,0,0,100,40,100,100,60,0,70,100,0
325,85,50,60,60,70,85,0,30,100,40,85,30,70
326,85,0,15,70,0,100,0,0,85,85,50,0,85
327,60,70,85,60,85,60,70,50,85,60,85,85,60
328,60,70,70,70,70,60,70,60,85,50,50,50,50
329,70,60,50,40,70,70,70,85,70,85,70,70,85
330,100,0,0,85,0,100,0,0,85,85,85,0,100
331,85,30,15,90,40,70,15,75,80,90,80,35,65
332,100,0,50,50,50,85,40,0,60,50,50,40,85
333,0,85,30,0,100,0,100,100,50,0,60,85,0
334,70,40,50,50,40,70,40,15,85,60,40,30,60
335,85,70,60,70,50,100,100,50,100,70,85,70,70
336,15,85,0,0,70,15,85,60,50,0,60,60,30
337,30,60,85,40,85,60,50,100,70,15,85,70,30
338,70,60,50,0,60,100,40,85,100,0,85,70,40
339,0,85,15,0,70,30,86,70,15,0,60,70,0
340,85,15,50,60,40,100,60,15,85,50,60,15,70
341,100,30,2,100,10,100,50,5,100,50,25,30,50
342,40,70,0,40,100,85,100,85,30,70,60,70,60
343,30,85,60,0,70,70,70,85,85,30,60,70,40
344,70,60,30,30,70,85,60,85,85,60,50,60,60
345,15,85,60,30,85,30,85,100,15,50,50,60,50
346,85,50,70,85,70,85,85,100,85,70,70,70,50
347,85,15,50,100,15,85,0,0,100,15,85,40,70
348,50,70,0,50,70,70,70,70,70,70,70,70,50
349,85,15,15,60,0,85,0,30,100,40,85,30,70
350,40,60,100,30,60,60,100,85,100,40,60,100,50
351,0,85,50,40,85,50,70,100,30,50,50,85,0
352,0,70,40,40,85,30,100,100,70,50,15,70,30
353,50,100,0,50,100,70,100,100,85,30,50,100,40
354,0,85,15,0,85,50,70,5,60,15,60,85,15
355,85,0,50,85,15,100,0,40,60,65,60,0,70
356,90,15,15,85,15,50,30,30,85,70,15,15,90
357,100,0,15,100,15,100,15,0,70,85,60,30,70
358,40,60,50,40,50,50,50,60,40,40,70,60,40
359,60,60,50,70,60,50,50,50,50,50,60,50,70
360,85,30,15,60,15,85,0,15,100,30,85,30,70
361,70,70,70,15,50,80,40,60,90,40,80,65,50
362,60,85,30,85,85,100,100,100,70,100,30,100,50
363,70,50,50,60,40,70,40,30,70,60,60,40,60
364,0,100,85,50,60,70,100,85,0,0,50,100,0
365,60,70,50,70,85,85,70,85,85,60,70,70,60
366,85,40,50,70,30,100,50,70,100,60,70,40,60
367,60,65,50,50,90,85,40,55,70,50,60,70,60
368,0,85,60,15,85,50,100,100,60,0,60,85,15
369,85,15,50,70,0,100,0,30,85,70,70,40,60
370,85,50,50,60,50,85,0,0,85,50,100,60,85
371,85,60,50,70,50,85,40,60,85,70,60,50,60
372,60,40,50,50,50,60,15,15,85,30,85,50,60
373,70,60,15,70,30,50,5,60,75,50,50,40,60
374,30,85,50,40,70,50,70,60,70,50,50,100,15
375,15,85,50,30,70,50,70,100,60,70,70,85,0
376,0,85,15,0,85,50,70,95,40,0,70,70,10
377,70,15,60,100,30,70,0,30,85,70,85,30,60
378,85,30,70,85,40,85,30,15,85,85,70,40,60
379,85,15,70,100,15,100,70,60,100,70,60,60,70
380,15,100,15,0,100,50,85,100,40,0,70,85,15
381,30,85,15,30,50,60,50,70,85,70,85,70,30
382,0,85,60,0,100,50,85,100,50,0,70,85,0
383,85,30,50,85,40,100,15,15,10,100,70,40,85
384,85,40,50,60,60,85,30,40,85,70,70,30,70
385,40,60,50,30,50,50,60,70,70,30,85,60,60
386,85,15,50,60,15,70,0,15,60,50,60,40,70
387,100,15,60,70,15,85,0,0,85,85,85,15,85
388,30,60,50,30,50,50,70,70,70,60,60,50,50
389,60,70,60,0,85,85,100,100,50,30,85,85,30
390,100,0,50,100,40,100,30,40,85,50,15,15,85
391,50,60,50,40,60,50,60,60,50,50,40,60,50
392,85,30,0,50,70,85,30,50,100,40,70,50,50
393,85,60,60,60,70,100,15,60,100,0,70,60,60
394,100,40,50,70,50,85,30,15,70,50,50,40,85
395,15,70,50,15,70,50,70,60,40,40,60,85,30
396,30,60,30,50,50,40,40,50,60,50,50,60,40
397,85,40,50,60,60,85,70,70,70,60,100,40,70
398,100,0,0,85,0,100,0,0,100,100,50,50,90
399,0,60,50,0,62,50,85,60,40,40,60,60,40
400,50,50,50,50,50,50,60,60,50,50,50,50,50
401,85,0,60,60,30,70,15,40,60,60,70,30,70
402,0,85,0,0,85,50,70,100,40,50,60,85,15
403,70,30,50,60,30,70,30,30,70,50,50,40,40
404,60,50,50,60,50,60,60,60,70,50,50,50,60
405,0,85,0,0,85,50,70,75,40,0,40,85,15
406,0,60,40,0,60,50,50,60,85,0,50,60,50
407,0,85,30,0,85,40,100,100,40,15,60,70,15
408,85,40,70,70,50,100,0,40,85,60,100,50,85
409,70,60,70,70,70,60,70,70,70,60,60,40,60
410,100,40,40,95,40,100,2,40,90,95,90,50,75
411,70,30,60,85,50,100,85,85,70,50,85,50,85
412,40,70,70,30,70,60,85,70,85,40,70,70,40
413,70,50,15,70,50,70,70,85,85,85,70,50,50
414,0,100,0,0,100,15,70,100,0,0,0,100,0
415,40,60,30,30,50,40,50,60,50,15,50,50,40
416,100,40,30,85,0,100,0,0,70,100,0,40,100
417,40,60,60,15,70,70,70,70,60,30,70,60,50
418,0,70,60,50,50,50,85,100,50,50,50,100,0
419,50,85,50,40,85,60,100,100,50,50,60,70,50
420,40,60,70,15,40,60,30,60,70,0,85,40,50
421,0,85,60,0,85,50,85,85,40,15,40,85,15
422,0,85,100,0,100,100,50,70,50,0,15,40,15
423,50,85,50,50,70,70,60,60,70,50,60,50,70
424,30,30,30,30,40,40,0,15,100,40,100,30,60
425,0,70,50,0,85,0,85,85,60,0,60,70,15
426,85,60,50,85,60,70,0,30,70,60,85,40,70
427,30,70,50,60,50,50,50,70,70,50,70,50,50
428,0,85,30,30,60,50,85,100,30,50,60,70,15
429,50,50,10,50,60,50,40,50,90,5,95,50,60
430,85,40,50,70,50,50,85,85,70,50,50,40,60
431,0,15,0,0,0,0,15,100,0,0,0,0,0
432,15,60,60,40,50,40,40,70,60,40,50,60,15
433,50,100,50,50,100,70,100,100,50,50,50,100,50
434,0,100,15,0,85,40,100,100,15,0,85,85,0
435,0,85,60,15,85,30,85,85,30,50,70,70,30
436,0,85,85,0,85,50,70,100,30,15,85,70,30
437,90,10,0,80,50,85,0,0,40,50,90,0,75
438,50,40,0,70,52,60,50,40,100,50,85,50,60
439,100,60,100,70,60,100,85,15,100,70,85,60,85
440,60,40,50,60,40,50,50,30,70,70,50,70,30
441,100,50,50,100,50,100,100,100,100,100,100,85,100
442,85,0,50,85,0,100,0,0,85,100,70,40,70
443,60,60,50,50,60,60,60,70,40,50,50,60,60
444,30,70,60,50,70,50,85,85,70,70,70,70,40
445,70,60,70,30,85,85,70,0,85,60,70,50,40
446,15,70,50,15,85,60,100,85,40,30,40,85,15
447,0,70,15,40,50,60,60,50,70,50,85,60,30
448,70,50,30,85,50,60,15,30,60,60,40,60,70
449,0,70,0,0,85,0,100,100,40,0,85,60,0
450,85,15,40,70,85,85,50,50,85,70,85,50,85
451,60,85,50,50,85,70,100,100,85,60,100,70,60
452,20,75,50,30,60,45,60,70,50,45,50,75,30
453,70,30,60,70,60,85,40,30,100,50,70,50,50
454,0,70,50,0,85,50,85,100,60,40,60,70,40
455,85,60,50,70,50,70,70,70,70,70,50,30,60
456,70,60,60,40,60,70,40,40,100,30,70,60,70
457,100,0,85,50,50,100,0,0,60,85,0,0,85
458,0,50,0,15,50,15,100,100,15,0,0,70,0
459,60,60,50,30,50,85,60,15,85,50,40,60,50
460,85,15,0,85,40,85,40,30,85,70,85,40,85
461,30,60,50,30,60,50,50,60,60,40,85,60,60
462,85,50,50,50,50,70,30,50,50,50,50,50,100
463,85,50,50,85,70,85,85,100,85,50,85,85,70
464,70,30,30,60,30,50,15,0,85,30,50,50,50
465,15,60,60,0,60,50,40,70,50,15,70,60,30
466,50,50,50,50,50,50,50,50,50,50,50,50,50
467,60,30,0,60,15,50,50,50,60,50,60,40,60
468,100,50,50,85,50,100,70,70,85,50,60,60,100
469,15,70,85,0,70,40,50,70,85,0,40,40,30
470,15,70,15,30,70,50,50,60,30,15,70,60,30
471,100,40,40,85,30,100,30,60,85,70,60,60,85
472,60,40,70,60,50,60,40,30,60,60,70,30,40
473,100,40,40,100,40,100,15,30,85,85,85,40,100
474,100,0,60,100,0,100,0,50,100,85,100,15,85
475,100,0,30,70,0,100,0,15,85,70,50,15,85
476,85,30,30,60,50,85,0,30,70,50,60,30,70
477,85,0,40,70,15,100,40,40,70,70,60,40,70
478,100,0,50,100,0,100,0,0,100,90,70,15,85
479,65,60,40,55,0,75,60,70,65,60,85,55,65
480,85,15,15,85,15,100,15,50,100,85,85,30,85
481,60,60,0,15,0,50,0,60,50,15,50,40,70
482,40,60,50,40,60,50,50,40,60,40,60,60,40
483,85,60,70,70,50,85,70,70,85,60,40,70,60
484,35,50,60,50,60,50,30,40,60,30,50,50,50
485,70,60,50,70,60,50,100,85,85,50,50,50,50
486,70,60,50,85,15,60,15,15,85,60,40,50,50
487,40,60,0,15,70,70,50,15,50,30,85,60,30
488,0,40,50,50,60,15,85,100,70,60,70,60,30
489,85,60,50,40,60,50,70,50,60,50,50,30,85
490,30,60,0,15,70,70,85,85,50,15,50,85,30
491,70,70,50,50,70,85,60,40,85,50,50,100,15
492,0,85,0,0,85,50,100,100,40,0,50,85,0
493,0,100,60,15,100,40,100,100,40,40,15,100,0
494,30,70,70,0,40,50,60,30,70,50,40,30,30
495,15,85,30,0,70,60,85,85,70,0,70,70,15
496,100,0,70,70,15,85,15,0,100,85,15,0,70
497,85,40,85,70,50,90,35,35,90,80,90,70,70
